(CLEAR S) (ONTABLE R) (ON S T) (ON T A) (ON A R)
(CLEAR T) (ONTABLE H) (ON T R) (ON R A) (ON A S) (ON S H)
(CLEAR R) (ONTABLE H) (ON R A) (ON A S) (ON S H)
(CLEAR A) (ONTABLE H) (ON A S) (ON S H)
(CLEAR C) (ONTABLE H) (ON C R) (ON R A) (ON A S) (ON S H)
(CLEAR C) (ONTABLE H) (ON C A) (ON A S) (ON S H)
(CLEAR S) (ONTABLE T) (ON S H) (ON H U) (ON U T)
(CLEAR C) (ONTABLE T) (ON C U) (ON U T)
(CLEAR R) (ONTABLE T) (ON R U) (ON U T)
(CLEAR T) (ONTABLE H) (ON T U) (ON U S) (ON S H)
(CLEAR R) (ONTABLE H) (ON R U) (ON U S) (ON S H)
(CLEAR C) (ONTABLE H) (ON C R) (ON R U) (ON U S) (ON S H)
(CLEAR T) (ONTABLE K) (ON T R) (ON R U) (ON U C) (ON C K)
(CLEAR S) (ONTABLE K) (ON S U) (ON U C) (ON C K)
(CLEAR T) (ONTABLE K) (ON T U) (ON U C) (ON C K)
(CLEAR R) (ONTABLE K) (ON R U) (ON U C) (ON C K)
(CLEAR R) (ONTABLE T) (ON R U) (ON U S) (ON S T)
(CLEAR H) (ONTABLE K) (ON H A) (ON A C) (ON C K)
(CLEAR S) (ONTABLE K) (ON S A) (ON A C) (ON C K)
(CLEAR C) (ONTABLE T) (ON C U) (ON U R) (ON R T)
