(lift hoist0 crate2 pallet0 depot0)
(drive truck1 depot0 distributor0)
(lift hoist1 crate8 crate3 distributor0)
(load hoist1 crate8 truck1 distributor0)
(unload hoist1 crate2 truck1 distributor0)
(lift hoist1 crate6 crate5 distributor0)
(drop hoist1 crate6 crate2 distributor0)
(drop hoist1 crate5 crate0 distributor0)
(lift hoist1 crate1 pallet1 distributor0)
(lift hoist1 crate5 crate0 distributor0)
(drop hoist1 crate5 pallet1 distributor0)
(lift hoist1 crate0 pallet4 distributor0)
(drop hoist1 crate0 crate5 distributor0)
(drive truck1 distributor0 distributor1)
(lift hoist2 crate9 pallet2 distributor1)
(load hoist2 crate9 truck1 distributor1)
(unload hoist2 crate8 truck1 distributor1)
