(walk driver1 s0 p4-0)
(walk driver1 p4-0 s4)
(walk driver2 p2-7 s2)
(board-truck driver2 truck3 s2)
(drive-truck truck3 s5 s2 driver2)
(load-truck package4 truck3 s6)
(load-truck package2 truck3 s6)
(drive-truck truck3 s6 s11 driver2)
(unload-truck package2 truck3 s0)
(drive-truck truck3 s2 s3 driver2)
(drive-truck truck3 s3 s5 driver2)
(load-truck package3 truck3 s5)
(drive-truck truck3 s5 s2 driver2)
(drive-truck truck3 s2 s3 driver2)
(drive-truck truck3 s3 s5 driver2)
(drive-truck truck3 s5 s4 driver2)
(load-truck package1 truck3 s4)
(drive-truck truck3 s4 s5 driver2)
(unload-truck package1 truck3 s5)
(drive-truck truck3 s3 s5 driver2)
(drive-truck truck3 s4 s5 driver2)
