(communicate_image_data rover1 general objective4 high_res waypoint6 waypoint9)
(calibrate rover0 camera1 objective4 waypoint4)
(take_image rover0 waypoint4 objective3 camera1 low_res)
(sample_soil rover2 rover2store waypoint7)
(communicate_soil_data rover2 general waypoint7 waypoint7 waypoint9)
(navigate rover3 waypoint4 waypoint1)
(navigate rover3 waypoint4 waypoint2)
(sample_rock rover3 rover3store waypoint2)
(navigate rover3 waypoint4 waypoint9)
(sample_rock rover3 rover3store waypoint9)
(navigate rover3 waypoint9 waypoint4)
(communicate_rock_data rover3 general waypoint9 waypoint4 waypoint9)
(drop rover0 rover0store)
(communicate_soil_data rover0 general waypoint8 waypoint8 waypoint9)
(navigate rover0 waypoint8 waypoint4)
(navigate rover0 waypoint4 waypoint2)
(drop rover0 rover0store)
(communicate_soil_data rover0 general waypoint2 waypoint4 waypoint9)
(navigate rover0 waypoint4 waypoint10)
(navigate rover0 waypoint10 waypoint4)
(communicate_soil_data rover0 general waypoint10 waypoint4 waypoint9)
