(communicate_soil_data rover0 general waypoint4 waypoint4 waypoint9)
(calibrate rover1 camera2 objective4 waypoint6)
(communicate_image_data rover1 general objective1 low_res waypoint6 waypoint9)
(take_image rover0 waypoint4 objective3 camera1 low_res)
(communicate_image_data rover0 general objective3 low_res waypoint4 waypoint9)
(navigate rover2 waypoint6 waypoint1)
(navigate rover3 waypoint4 waypoint1)
(sample_rock rover3 rover3store waypoint1)
(navigate rover3 waypoint1 waypoint4)
(communicate_rock_data rover3 general waypoint1 waypoint4 waypoint9)
(navigate rover3 waypoint4 waypoint1)
(navigate rover3 waypoint1 waypoint10)
(drop rover3 rover3store)
(navigate rover3 waypoint10 waypoint1)
(communicate_rock_data rover3 general waypoint10 waypoint3 waypoint9)
(navigate rover3 waypoint3 waypoint1)
(navigate rover3 waypoint1 waypoint4)
(navigate rover3 waypoint4 waypoint9)
(drop rover3 rover3store)
(sample_rock rover3 rover3store waypoint9)
(navigate rover3 waypoint9 waypoint4)
(communicate_rock_data rover3 general waypoint9 waypoint4 waypoint9)
(navigate rover0 waypoint2 waypoint4)
(navigate rover0 waypoint4 waypoint5)
(sample_soil rover0 rover0store waypoint5)
(navigate rover0 waypoint5 waypoint4)
(communicate_soil_data rover0 general waypoint5 waypoint4 waypoint9)
(navigate rover0 waypoint4 waypoint10)
(drop rover0 rover0store)
(sample_soil rover0 rover0store waypoint10)
(navigate rover0 waypoint10 waypoint4)
(communicate_soil_data rover0 general waypoint10 waypoint4 waypoint9)
