(switch_on instrument2 satellite0)
(calibrate satellite0 instrument2 groundstation2)
(switch_on instrument6 satellite3)
(turn_to satellite3 groundstation4 groundstation2)
(turn_to satellite0 star3 groundstation2)
(calibrate satellite3 instrument6 groundstation4)
(take_image satellite0 star3 instrument2 image0)
(turn_to satellite3 phenomenon5 groundstation4)
(turn_to satellite0 planet10 star3)
(take_image satellite3 phenomenon5 instrument6 image1)
(take_image satellite0 planet10 instrument2 image0)
(turn_to satellite2 phenomenon5 star6)
(turn_to satellite1 star6 groundstation0)
